,[M],mz_[M+H]+,mzmin,mzmax,rt,rtmin,rtmax,npeaks,cdfs,IL27_1,IL27_2,IL27_4,IL27_5,IL27_6,IL28_1,IL28_2,IL28_3,IL28_4,IL28_5,IL28_6,MB_1,MB_2,MB_3,MB_4,MB_5,MB_6,LA1840_1,LA1840_2,LA1840_3,LA1840_4,LA1840_5,LA1840_6
metabolite_109,334.250922,335.2581979,335.2564058,335.2608181,2022.693705,1994.465032,2027.308036,28,109,0.000183292,0.000183221,0.000218242,0.000310304,0.000344834,0.000301059,0.000222233,0.000279301,0.000313342,0.000212554,0.000260918,0.000286165,0.000227911,0.00016719,0.000229972,0.000326066,0.000294726,0.001411841,5.53E-05,8.51E-05,0.000105303,0.000183722,9.81E-05
metabolite_110,334.250884,335.2581598,335.2561307,335.26004,2270.475614,2269.716428,2271.168063,22,110,0.000578392,0.000699419,0.000802475,0.000917831,0.000792515,0.001016406,0.000766937,0.000907309,0.000757018,0.000734412,0.000613618,0.002492544,0.001551338,0.000829924,0.002326493,0.001653006,0.00096417,0.000170481,0.000289546,0.000207469,0.000290657,0.0005747,0.000228675
metabolite_111,334.25058,335.2578565,335.2565521,335.2597627,1588.341135,1581.570239,1592.206499,21,111,0.000195367,0.000315425,0.000248335,0.000347816,0.000320238,0.00028971,0.000248771,0.000325698,0.000280237,0.000351782,0.000486561,8.36E-05,0.00012683,8.50E-05,8.72E-05,9.34E-05,0.000223022,0.000212297,0.000117902,0.000174786,0.000182956,0.000265302,0.000442517
metabolite_112,335.088706,336.0959823,336.0945197,336.0970537,32.16124304,31.94074577,32.48694795,22,112,0.001295615,0.000976559,0.001162917,0.000626911,0.000691387,0.000247931,0.000253233,0.000384114,0.000322486,0.000246823,0.000433658,0.000640276,0.000860728,0.000867725,0.000302305,0.000787667,0.001025655,2.49E-07,0.000186655,0.000435026,0.000351003,0.000337597,0.000223103
metabolite_113,335.254524,336.2617999,336.2596326,336.2640647,2159.626506,2124.537227,2271.136003,66,113,0.000884921,0.001085907,0.001326584,0.001473475,0.001293799,0.001992433,0.001631883,0.001722659,0.001372401,0.001728163,0.00147528,0.001676937,0.001550857,0.001470411,0.001453994,0.001320345,0.001682415,0.000356804,0.000633332,0.00097147,0.00087561,0.001310982,0.001074323
metabolite_114,335.30274,336.3100155,336.2604279,336.3122364,2004.837815,2004.124169,2027.308036,23,114,5.99E-05,7.34E-05,5.33E-05,5.06E-05,2.29E-05,7.48E-05,9.67E-05,7.45E-05,6.64E-05,6.66E-06,6.07E-05,5.95E-05,7.40E-05,7.07E-05,7.00E-05,6.86E-05,5.54E-05,9.73E-05,7.19E-05,6.91E-05,5.93E-05,4.16E-05,6.07E-05
metabolite_115,336.082329,337.089605,337.0616646,337.1002083,37.86405276,31.52667466,50.8242263,32,115,0.000382348,0.000655435,0.000709967,0.000624528,0.001172023,0.000335656,0.000170397,0.00029109,0.000308586,0.000296535,0.000368766,0.001227855,0.000694397,0.000503753,0.000347642,0.000598697,0.00051156,2.82E-06,0.000111284,8.57E-05,9.92E-06,0.000200088,0.000125865
metabolite_116,336.265917,337.2731933,337.2695216,337.2755247,2156.665818,2118.14205,2202.41932,53,116,0.000281709,0.000328929,0.000411595,0.000419987,0.000102753,0.000582035,0.000558249,0.000545391,0.000472648,0.000591329,0.000472285,0.000127868,0.000463483,0.00020131,0.000477957,0.000293077,0.000536983,0.000732533,0.000331609,0.000374989,0.000406016,0.00054373,0.000518813
metabolite_117,336.266642,337.2739181,337.2135236,337.2905633,2008.210169,1891.86437,2037.112382,46,117,0.000202816,0.000369334,0.000230501,0.00018035,0.000217135,0.000168978,4.19E-05,0.000102487,5.60E-05,3.44E-05,0.000149321,6.68E-05,0.000116039,3.53E-05,0.000109815,8.31E-05,5.40E-05,6.70E-05,3.60E-05,5.01E-06,2.64E-05,3.09E-05,7.57E-05
metabolite_118,336.266411,337.2736871,337.2711136,337.2754439,2260.892183,2259.864551,2263.821015,23,118,0.000493686,0.000761509,0.000954534,0.000542123,0.001223889,0.001132648,0.001114443,0.001071526,0.000950418,0.00097748,0.000669071,0.001125794,0.000986973,0.000739464,0.000964,0.000369883,0.001190807,0.000126317,0.000828316,0.000674501,0.000878621,0.001660512,0.000764446
metabolite_119,336.266299,337.2735753,337.2715675,337.2757122,1740.094132,1677.913713,1777.531804,24,119,0.000907478,0.000946803,0.000812948,0.00156804,0.002187459,0.000259383,0.000165656,0.000803998,0.000554282,0.000871361,0.001716209,5.15E-05,5.09E-05,8.12E-05,3.68E-05,0.000134124,0.000310672,0.000723492,0.000452388,0.000296463,0.000342586,0.000211787,0.001449984
metabolite_120,337.222695,338.2299709,338.2276235,338.2323084,1910.584188,1910.23557,1910.763049,23,120,0.004077504,0.003995575,0.002903744,0.002896151,0.00034573,0.003702398,0.005099163,0.004340753,0.003738644,0.005216392,0.004345955,0.004598967,0.004124636,0.004154623,0.004781501,0.003827949,0.005142581,0.00010191,0.004141747,0.003898986,0.003647224,0.00281962,0.003279979
metabolite_121,337.225244,338.2325203,338.2306848,338.233751,1573.610741,1572.757823,1575.315732,15,121,5.48E-05,0.000120426,0.000106218,0.000106925,4.77E-06,0.000130114,0.000121163,0.000132967,0.000130799,0.000177405,0.00012328,0.000109493,0.000117588,0.000122838,9.28E-05,0.000129265,0.000126002,6.26E-07,9.46E-05,0.000111669,0.000123196,0.000101228,0.000117667
metabolite_122,338.226527,339.2338035,339.2320044,339.2361417,1910.504023,1909.013976,1911.457929,21,122,0.000224431,0.000237065,0.000138283,0.000221378,5.56E-05,0.000142378,0.000244923,0.000116927,0.00015501,0.000287076,0.000247059,0.000265988,0.000304625,0.000252754,0.000311477,0.000119489,0.00035792,1.88E-05,0.000206315,0.000265659,0.000143693,0.000157723,0.000174202
metabolite_123,338.281411,339.2886873,339.2865658,339.2904646,2262.566332,2201.067911,2267.387914,20,123,8.44E-05,9.25E-05,0.000106371,0.000154728,0.0001217,9.71E-05,0.000294317,0.000254009,0.000204052,0.000239954,0.000214908,0.000185574,0.000178411,9.41E-05,3.24E-05,0.000181475,9.67E-05,4.89E-05,0.000147607,7.59E-05,9.44E-05,0.000149959,9.51E-05
metabolite_124,343.308675,344.3159513,344.242966,344.3181785,2006.25854,1969.260597,2006.875097,19,124,6.18E-05,8.21E-05,7.80E-05,4.27E-05,3.95E-05,4.08E-05,4.63E-05,0.000103294,0.000100728,8.54E-05,7.01E-05,5.55E-05,4.20E-05,6.32E-05,4.06E-05,7.98E-05,6.06E-05,8.91E-07,3.77E-05,8.07E-05,6.92E-05,5.14E-05,1.17E-05
metabolite_125,346.159929,347.1672055,347.1653042,347.169439,636.9490327,634.3530597,641.1220193,17,125,2.72E-05,3.22E-05,2.69E-05,3.48E-05,2.94E-05,3.29E-05,0.000116429,4.22E-05,6.49E-05,4.51E-05,3.87E-05,3.86E-05,7.21E-05,6.36E-05,0.000160217,0.000101924,5.37E-05,6.05E-07,3.80E-05,1.76E-05,1.62E-05,2.32E-05,3.97E-05
metabolite_126,347.179035,348.1863115,348.1849144,348.1880912,796.9710169,774.9516138,803.6897378,20,126,0.000394633,0.000372517,0.001382336,0.000583679,0.001218325,0.000189209,2.87E-05,0.000112082,4.72E-05,0.000113213,4.94E-05,0.000819206,0.000929413,0.000579903,0.000374653,0.000777342,0.000505467,1.23E-07,0.000144039,9.89E-05,0.000125577,0.000283594,0.000146274
metabolite_127,347.680704,348.6879795,348.685812,348.6896236,797.8890672,774.7393567,802.9478455,14,127,8.99E-05,9.78E-05,0.000328344,0.000117231,0.000266642,4.69E-05,1.18E-05,2.93E-05,1.83E-05,3.88E-05,3.09E-05,0.000175581,0.000212004,7.63E-05,8.70E-05,0.000181699,0.000128947,0,3.28E-05,3.32E-05,4.04E-05,6.95E-05,4.13E-05
